id|sessionId|recordedAt|authorDoctorId|summary|actionItems
5b61c95f-81dc-4714-ae68-4d537abf1a27|7196009a-e392-4efd-9e65-2e9c827c5e74|2025-10-28T21:05|580bd327-3564-4856-9a1b-fc301a7b3aa9|讨论患者髋关节置换术后的康复计划，决定增加理疗频次并监测伤口状况|王医生负责跟进理疗计划，张医生两周后复诊评估
e388ef04-6a53-438a-82fb-aed150fc9665|d143d40e-7cb2-4f02-a3da-f12de4c1558d|2025-11-03T16:40|2b4936cb-089f-4379-92bd-82ab842c1688|会诊专家建议进行高分辨率CT并继续雾化治疗，注意观察呼吸频率变化|安排患者11月5日前完成CT，给患者发放居家监测表
3bde0534-9f09-4e81-b77a-8a0d358dd7c8|d8c6ab3f-8531-4fef-9c9e-601a6f46b90e|2025-11-06T16:50|7ad821a4-0b2f-4bb6-85a2-6be7a329a1f1|讨论脑血管成像结果并统一抗血小板治疗方案，建议同步管理血压与血脂|刘医生负责协调神经影像复查，王磊一周内记录血压日志
ac6647f9-7d4d-4bb8-8398-10ab9932dd8b|8cb2a079-4b9d-4e4c-9ca3-b229b9c96589|2025-11-07T18:10|485913d5-05e6-4c18-bf60-f49b1b57d66d|会诊确认皮肤损伤与光敏相关，需要在免疫抑制剂基础上加强皮肤屏障修复|陈医生为患者制定防晒计划，孙医生评估是否需调整系统治疗
6baafa0c-b372-4541-a7fb-b4670659c7ee|28275daf-de5b-4e68-9a87-93a609f82e82|2025-11-01T16:05:01.064227|7bfcc966-0dbe-473c-8d88-96f141648295|会议纪要5：总结重点讨论要点与分工。|行动项5：安排相关检查与复诊。
bd098fc3-af09-400b-b03c-855213698be1|5c40a6aa-16d1-4993-8888-095f90929f4c|2025-11-01T16:05:01.064386|acf0be0c-c851-41d4-bb51-51aa7da6d601|会议纪要6：总结重点讨论要点与分工。|行动项6：安排相关检查与复诊。
74a4d2a5-73ce-4126-bfdb-04a34c456576|0efd4d29-e144-42c6-9c95-730157d65db2|2025-11-01T16:05:01.064511|b6688d47-8c06-4821-a29e-c28c827c8737|会议纪要7：总结重点讨论要点与分工。|行动项7：安排相关检查与复诊。
8f2fc819-f67e-47c0-ac2b-39ce4e5bd056|7a11da63-0ebf-4908-948c-fc35661a7764|2025-11-01T16:05:01.064625|9ffcca62-f643-4ea1-9037-d6598ac1be0d|会议纪要8：总结重点讨论要点与分工。|行动项8：安排相关检查与复诊。
ebdb9249-f737-464f-b3be-1c7db01ee5b4|9f1013a9-3be1-4888-9418-8aa2e22eb71a|2025-11-01T16:05:01.064734|2396508c-ac3f-4aee-9a37-f67097636543|会议纪要9：总结重点讨论要点与分工。|行动项9：安排相关检查与复诊。
4480d86e-3b4c-4fe8-a6f0-94b092ff7fb1|3261e37f-0710-48d7-8bad-6d094b4af554|2025-11-01T16:05:01.064866|5fb1df65-761e-48ba-94a4-e21fc3bfb104|会议纪要10：总结重点讨论要点与分工。|行动项10：安排相关检查与复诊。
9bed62ad-5099-47b8-8ae9-902609a1b999|467ca97c-159d-4b14-8875-5e4d58450506|2025-11-01T16:05:01.064986|580bd327-3564-4856-9a1b-fc301a7b3aa9|会议纪要11：总结重点讨论要点与分工。|行动项11：安排相关检查与复诊。
b223a8d9-8319-4ef6-9733-96dc6055cdc3|9494eb50-cd9c-4a84-9de8-5b90064ad624|2025-11-01T16:05:01.065100|60b9b2c5-ab9f-44dd-abda-bc4fde815789|会议纪要12：总结重点讨论要点与分工。|行动项12：安排相关检查与复诊。
e9839317-7f80-4a2f-9b33-78b346ee01cf|55829952-7920-4089-bf29-163f49045e66|2025-11-01T16:05:01.065219|dede2a9a-caf3-4356-81c1-e2edc5c6555c|会议纪要13：总结重点讨论要点与分工。|行动项13：安排相关检查与复诊。
885d7af2-07cb-4b2d-9d6d-f5d96207b558|135a28a0-2383-4ee9-9c13-376ba96b97b8|2025-11-01T16:05:01.065337|485913d5-05e6-4c18-bf60-f49b1b57d66d|会议纪要14：总结重点讨论要点与分工。|行动项14：安排相关检查与复诊。
ac2f4bdb-47ce-4bba-885f-99dabaf9f438|a5c45721-5299-478f-aa45-203b6bd3b9b9|2025-11-01T16:05:01.065467|6d0e9136-3f58-4a22-a2b0-7c68fe1a5d9c|会议纪要15：总结重点讨论要点与分工。|行动项15：安排相关检查与复诊。
a70dfdee-50ba-49b6-96ee-0d9b5079c698|3c450459-88e1-4892-bcdc-ff4512917438|2025-11-01T16:05:01.065605|1418385d-e695-417a-9eee-c11cd11772c1|会议纪要16：总结重点讨论要点与分工。|行动项16：安排相关检查与复诊。
ad94d322-992c-4a8d-ba3c-b1197e69d033|1cb83702-911f-4dc5-b822-190339eeb691|2025-11-01T16:05:01.065754|2ab7d795-2e4d-4c57-8b43-2d98dd7a9c18|会议纪要17：总结重点讨论要点与分工。|行动项17：安排相关检查与复诊。
ab73aa37-37e7-4548-a229-7a20e49802a3|8c17921a-bc91-4207-bbd8-d5e85787cf55|2025-11-01T16:05:01.065915|4d705cc4-c6df-4626-8b21-30d04928e394|会议纪要18：总结重点讨论要点与分工。|行动项18：安排相关检查与复诊。
f741dad4-9d81-4801-a6d2-b0cd878f4ed6|18742e6e-4c7f-468c-b48b-4b9c8e92fe44|2025-11-01T16:05:01.066072|6a305a49-b540-4016-907f-7297a22fa1cc|会议纪要19：总结重点讨论要点与分工。|行动项19：安排相关检查与复诊。
bf7205c0-81b6-4368-9d5b-b13661a00758|271005d7-85a5-4cc2-a4e6-5644105cdf2c|2025-11-01T16:05:01.066229|43f280ca-1ec9-4073-98eb-c106ebc62ea7|会议纪要20：总结重点讨论要点与分工。|行动项20：安排相关检查与复诊。
01bdd5cd-eefa-42c5-88bd-5675c5c20807|c7d41461-1045-4065-88a8-ebf944381a7b|2025-11-01T16:05:01.066395|9de08af5-77d3-4c97-ac02-399f93e90827|会议纪要21：总结重点讨论要点与分工。|行动项21：安排相关检查与复诊。
bd0a0f40-3d67-4604-aebe-5d57e6a98a10|1c559f71-82fe-4581-8820-56b7fe142816|2025-11-01T16:05:01.066560|1e6e7812-9cb9-4b3e-9112-2c6f29ea1961|会议纪要22：总结重点讨论要点与分工。|行动项22：安排相关检查与复诊。
d2a46d06-cd34-4230-af51-f7e97a75c257|e4a0e315-038b-4d0a-9463-f42674095501|2025-11-01T16:05:01.066774|009bd367-8530-4f43-b437-b467f66f6930|会议纪要23：总结重点讨论要点与分工。|行动项23：安排相关检查与复诊。
496dc774-47ac-48c6-9747-6f32b8eb5f97|9a059d16-3b9a-4b80-bb5e-89c542929f11|2025-11-01T16:05:01.066951|31e65942-1973-4025-bba0-c1c69fa21f53|会议纪要24：总结重点讨论要点与分工。|行动项24：安排相关检查与复诊。
86e8a286-1439-425f-896d-b0cdb66d820e|ad5ed8f7-b117-45df-844a-db0dccbab978|2025-11-01T16:05:01.067161|7ad821a4-0b2f-4bb6-85a2-6be7a329a1f1|会议纪要25：总结重点讨论要点与分工。|行动项25：安排相关检查与复诊。
68771550-ff6c-4eae-b960-5a40ec785673|83eab664-4602-4828-a0c1-9d3afe50449a|2025-11-01T16:05:01.067385|afb8a4ae-dcea-47bd-b668-3596f7d5e49d|会议纪要26：总结重点讨论要点与分工。|行动项26：安排相关检查与复诊。
96035a6d-4c88-45a7-8512-e90e61dcf13d|d7ad71f4-6eac-441b-a9ea-225a82939027|2025-11-01T16:05:01.067576|4c7adb47-d540-488c-bc2d-9b1c9f50a64a|会议纪要27：总结重点讨论要点与分工。|行动项27：安排相关检查与复诊。
62e9d6c4-60e6-4569-9981-be3d9fc56bfb|f69077f9-552a-4c40-88dd-c72447e2df8d|2025-11-01T16:05:01.067762|564fceb4-4ff0-4918-963f-1f5a2247fb4c|会议纪要28：总结重点讨论要点与分工。|行动项28：安排相关检查与复诊。
97f8ceb5-2608-4a5b-9fa8-4798e9303b30|621ee9dc-7e6d-40b6-be0d-ef4e0d143656|2025-11-01T16:05:01.067947|87db3859-6e28-401f-b035-6a8ca73057aa|会议纪要29：总结重点讨论要点与分工。|行动项29：安排相关检查与复诊。
970b1bd6-b19e-41ba-af57-53b890f44469|d143d40e-7cb2-4f02-a3da-f12de4c1558d|2025-11-01T16:05:01.068138|2b4936cb-089f-4379-92bd-82ab842c1688|会议纪要30：总结重点讨论要点与分工。|行动项30：安排相关检查与复诊。
